id,source_ip,dur,spkts,sbytes,sttl,swin,stcpb,dtcpb,rate,pps,ttl_ratio,tcp_diff,swin_interaction,label
82,10.0.0.5,1738340034.286921,1,919,64,83,3856450215,1657173263,5.286652679416545e-07,5.752614449854783e-10,3.681673247907061e-08,-2199276952.0,320085367845.0,0
83,10.0.0.5,1738340034.287792,1,965,64,83,3856450215,1657173264,5.551272944107084e-07,5.7526144498519e-10,3.681673247905216e-08,-2199276951.0,320085367845.0,0
84,10.0.0.3,1738340034.287863,1,819,64,85,1657173264,3856450216,4.711391234428514e-07,5.752614449851665e-10,3.681673247905066e-08,2199276952.0,140859727440.0,0
85,10.0.0.5,1738340034.566242,1,916,64,42340,1597765107,0,5.269394835220281e-07,5.752614448930438e-10,3.68167324731548e-08,-1597765107.0,67649374630380.0,0
86,10.0.0.2,1738340034.566321,1,838,64,43440,3323374094,1597765108,4.820690908203488e-07,5.752614448930177e-10,3.681673247315313e-08,-1725608986.0,144367370643360.0,0
87,10.0.0.5,1738340034.566347,1,961,64,83,1597765108,3323374095,5.528262485421817e-07,5.75261444893009e-10,3.6816732473152577e-08,1725608987.0,132614503964.0,0
88,10.0.0.5,1738340034.566618,1,1089,64,83,1597765108,3323374095,6.264597134883892e-07,5.752614448929194e-10,3.681673247314684e-08,1725608987.0,132614503964.0,0
89,10.0.0.2,1738340034.566635,1,828,64,85,3323374095,1597765248,4.7631647637133257e-07,5.752614448929138e-10,3.681673247314648e-08,-1725608847.0,282486798075.0,0
90,10.0.0.2,1738340034.567069,1,956,64,85,3323374095,1597765248,5.499499413174882e-07,5.752614448927701e-10,3.6816732473137284e-08,-1725608847.0,282486798075.0,0
91,10.0.0.2,1738340034.567120,1,937,64,85,3323374213,1597765248,5.390199738645098e-07,5.752614448927532e-10,3.6816732473136205e-08,-1725608965.0,282486808105.0,0
92,10.0.0.5,1738340034.567177,1,910,64,83,1597765248,3323374213,5.234879148523882e-07,5.752614448927343e-10,3.6816732473134994e-08,1725608965.0,132614515584.0,0
93,10.0.0.5,1738340034.568065,1,795,64,83,1597765248,3323374214,4.573328486894902e-07,5.752614448924405e-10,3.6816732473116194e-08,1725608966.0,132614515584.0,0
94,10.0.0.2,1738340034.568108,1,860,64,85,3323374214,1597765249,4.947248426074865e-07,5.752614448924263e-10,3.681673247311528e-08,-1725608965.0,282486808190.0,0
95,10.0.0.5,1738340035.647474,1,939,64,42340,3177517423,0,5.401704964185868e-07,5.752614445352362e-10,3.681673245025512e-08,-3177517423.0,134536087689820.0,0
96,10.0.0.3,1738340035.647606,1,936,64,43440,3619045495,3177517424,5.384447120849402e-07,5.752614445351926e-10,3.6816732450252326e-08,-441528071.0,157211336302800.0,0
97,10.0.0.5,1738340035.647660,1,948,64,83,3177517424,3619045496,5.453478494193456e-07,5.752614445351747e-10,3.681673245025118e-08,441528072.0,263733946192.0,0
98,10.0.0.5,1738340035.648230,1,926,64,83,3177517424,3619045496,5.326920976393971e-07,5.752614445349861e-10,3.681673245023911e-08,441528072.0,263733946192.0,0
99,10.0.0.3,1738340035.648270,1,811,64,85,3619045496,3177517564,4.66537031517863e-07,5.752614445349729e-10,3.6816732450238264e-08,-441527932.0,307618867160.0,0
100,10.0.0.3,1738340035.649095,1,1080,64,85,3619045496,3177517564,6.212823600974758e-07,5.752614445346998e-10,3.681673245022079e-08,-441527932.0,307618867160.0,0
101,10.0.0.3,1738340035.649200,1,776,64,85,3619045614,3177517564,4.464028809589001e-07,5.752614445346651e-10,3.6816732450218564e-08,-441528050.0,307618877190.0,0
102,10.0.0.5,1738340035.649309,1,914,64,83,3177517564,3619045614,5.25788960304651e-07,5.752614445346291e-10,3.681673245021626e-08,441528050.0,263733957812.0,0
103,10.0.0.5,1738340035.650522,1,813,64,83,3177517564,3619045615,4.6768755440632705e-07,5.752614445342276e-10,3.6816732450190566e-08,441528051.0,263733957812.0,0
104,10.0.0.3,1738340035.650588,1,939,64,85,3619045615,3177517565,5.401704964176192e-07,5.752614445342058e-10,3.681673245018917e-08,-441528050.0,307618877275.0,0
105,10.0.0.5,1738340035.862659,1,937,64,42340,4190274594,0,5.390199734627924e-07,5.75261444464026e-10,3.6816732445697665e-08,-4190274594.0,177416226309960.0,0
106,10.0.0.3,1738340035.862840,1,792,64,43440,1424201575,4190274595,4.556070640154612e-07,5.752614444639661e-10,3.681673244569383e-08,2766073020.0,61867316418000.0,0
107,10.0.0.5,1738340035.862917,1,834,64,83,4190274595,1424201576,4.797680446829265e-07,5.752614444639406e-10,3.68167324456922e-08,-2766073019.0,347792791385.0,0
108,10.0.0.5,1738340035.863489,1,1024,64,83,4190274595,1424201576,5.890677191308814e-07,5.752614444637514e-10,3.681673244568009e-08,-2766073019.0,347792791385.0,0
109,10.0.0.3,1738340035.863526,1,914,64,85,1424201576,4190274735,5.257889602398575e-07,5.752614444637391e-10,3.68167324456793e-08,2766073159.0,121057133960.0,0
110,10.0.0.3,1738340035.864407,1,967,64,85,1424201576,4190274735,5.562778167961538e-07,5.752614444634475e-10,3.681673244566064e-08,2766073159.0,121057133960.0,0
111,10.0.0.3,1738340035.864526,1,830,64,85,1424201694,4190274735,4.774669989046288e-07,5.752614444634082e-10,3.6816732445658125e-08,2766073041.0,121057143990.0,0
112,10.0.0.5,1738340035.864632,1,887,64,83,4190274735,1424201694,5.10256901239012e-07,5.752614444633732e-10,3.681673244565588e-08,-2766073041.0,347792803005.0,0
113,10.0.0.5,1738340035.866191,1,883,64,83,4190274735,1424201695,5.079558554607029e-07,5.752614444628572e-10,3.681673244562286e-08,-2766073040.0,347792803005.0,0
114,10.0.0.3,1738340035.866237,1,940,64,85,1424201695,4190274736,5.407457577950714e-07,5.75261444462842e-10,3.681673244562189e-08,2766073041.0,121057144075.0,0
115,10.0.0.5,1738340035.897301,1,833,64,42340,3812278310,0,4.791927832289842e-07,5.752614444525621e-10,3.6816732444963975e-08,-3812278310.0,161411863645400.0,0
116,10.0.0.1,1738340035.897392,1,962,64,43440,3318052239,3812278311,5.534015095633357e-07,5.752614444525319e-10,3.681673244496204e-08,494226072.0,144136189262160.0,0
117,10.0.0.5,1738340035.897429,1,808,64,83,3812278311,3318052240,4.6481124711763595e-07,5.752614444525197e-10,3.681673244496126e-08,-494226071.0,316419099813.0,0
118,10.0.0.5,1738340035.897949,1,1143,64,83,3812278311,3318052240,6.575238310090334e-07,5.752614444523477e-10,3.681673244495025e-08,-494226071.0,316419099813.0,0
119,10.0.0.1,1738340035.897982,1,867,64,85,3318052240,3812278519,4.98751672340176e-07,5.752614444523368e-10,3.6816732444949556e-08,494226279.0,282034440400.0,0
120,10.0.0.5,1738340035.898602,1,837,64,83,3812278519,3318052240,4.814938290064341e-07,5.752614444521316e-10,3.681673244493642e-08,-494226279.0,316419117077.0,0
121,10.0.0.1,1738340035.898632,1,900,64,85,3318052240,3812278528,5.177353000069094e-07,5.752614444521216e-10,3.6816732444935785e-08,494226288.0,282034440400.0,0
122,10.0.0.1,1738340035.898988,1,961,64,85,3318052240,3812278528,5.528262481183757e-07,5.752614444520038e-10,3.681673244492824e-08,494226288.0,282034440400.0,0
123,10.0.0.1,1738340035.899085,1,948,64,85,3318052358,3812278528,5.453478493404692e-07,5.752614444519717e-10,3.681673244492619e-08,494226170.0,282034450430.0,0
124,10.0.0.5,1738340035.899176,1,859,64,83,3812278528,3318052358,4.941495807842179e-07,5.752614444519416e-10,3.6816732444924264e-08,-494226170.0,316419117824.0,0
125,10.0.0.5,1738340035.900546,1,819,64,83,3812278528,3318052397,4.7113912300576884e-07,5.752614444514882e-10,3.6816732444895246e-08,-494226131.0,316419117824.0,0
126,10.0.0.1,1738340035.900586,1,809,64,85,3318052397,3812278529,4.653865085612433e-07,5.75261444451475e-10,3.68167324448944e-08,494226132.0,282034453745.0,0
127,10.0.0.5,1738340036.281522,1,852,64,42340,2052067856,0,4.901227505652523e-07,5.752614443254135e-10,3.6816732436826463e-08,-2052067856.0,86884553023040.0,0
128,10.0.0.1,1738340036.281621,1,959,64,43440,3586966528,2052067857,5.516757251080401e-07,5.752614443253807e-10,3.6816732436824366e-08,-1534898671.0,155817825976320.0,0
129,10.0.0.5,1738340036.281656,1,892,64,83,2052067857,3586966529,5.131332083382292e-07,5.752614443253691e-10,3.6816732436823625e-08,1534898672.0,170321632131.0,0
130,10.0.0.5,1738340036.282267,1,1015,64,83,2052067857,3586966529,5.838903659900444e-07,5.752614443251669e-10,3.681673243681068e-08,1534898672.0,170321632131.0,0
131,10.0.0.1,1738340036.282290,1,868,64,85,3586966529,2052068004,4.993269336742383e-07,5.752614443251593e-10,3.68167324368102e-08,-1534898525.0,304892154965.0,0
132,10.0.0.1,1738340036.282963,1,967,64,85,3586966529,2052068004,5.562778166622137e-07,5.752614443249366e-10,3.6816732436795944e-08,-1534898525.0,304892154965.0,0
133,10.0.0.1,1738340036.283037,1,840,64,85,3586966647,2052068004,4.832196132329262e-07,5.752614443249121e-10,3.6816732436794375e-08,-1534898643.0,304892164995.0,0
134,10.0.0.5,1738340036.283357,1,860,64,83,2052068004,3586966647,4.947248421193334e-07,5.752614443248062e-10,3.68167324367876e-08,1534898643.0,170321644332.0,0
135,10.0.0.5,1738340036.284589,1,791,64,83,2052068004,3586966668,4.550318024605992e-07,5.752614443243985e-10,3.6816732436761507e-08,1534898664.0,170321644332.0,0
136,10.0.0.1,1738340036.284618,1,826,64,85,3586966668,2052068005,4.751659530119453e-07,5.752614443243889e-10,3.681673243676089e-08,-1534898663.0,304892166780.0,0
